2024-11-22 01:40:13,285 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Configure stats pid to 50632
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Loading settings from /home/cmdunham/.config/wandb/settings
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Loading settings from /home/cmdunham/ChemicalDataGeneration/data_preprocessing/wandb/settings
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': '/home/cmdunham/ChemicalDataGeneration/data_preprocessing/cifar10_encoder.ipynb'}
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_init.py:_log_setup():520] Logging user logs to /home/cmdunham/ChemicalDataGeneration/data_preprocessing/wandb/run-20241122_014013-2o5o5k9b/logs/debug.log
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_init.py:_log_setup():521] Logging internal logs to /home/cmdunham/ChemicalDataGeneration/data_preprocessing/wandb/run-20241122_014013-2o5o5k9b/logs/debug-internal.log
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_init.py:init():560] calling init triggers
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'wandb_entity': 'catemerfeld', 'wandb_project': 'ims_encoder_decoder', 'gpu': True, 'threads': 1, 'learning_rate': 0.0001, 'epochs': 100, 'batch_size': 32, 'model_architecture': 'encoder', 'optimizer': 'AdamW', 'loss': 'MSELoss', 'data': 'MNIST'}
2024-11-22 01:40:13,286 INFO    MainThread:50632 [wandb_init.py:init():585] re-initializing run, found existing run on stack: vffb81l2
2024-11-22 01:40:13,287 INFO    MainThread:50632 [wandb_run.py:_finish():2103] finishing run catemerfeld/ims_encoder_decoder/vffb81l2
2024-11-22 01:40:13,287 ERROR   MainThread:50632 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-11-22 01:40:13,287 INFO    MainThread:50632 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-11-22 01:40:13,287 INFO    MainThread:50632 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-11-22 01:40:13,287 INFO    MainThread:50632 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-11-22 01:40:13,287 INFO    MainThread:50632 [wandb_run.py:_restore():2326] restore
2024-11-22 01:40:13,287 INFO    MainThread:50632 [wandb_run.py:_restore():2332] restore done
2024-11-22 01:40:17,756 INFO    MainThread:50632 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-11-22 01:40:17,757 INFO    MainThread:50632 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-11-22 01:40:17,765 INFO    MainThread:50632 [wandb_run.py:_footer_sync_info():3953] logging synced files
2024-11-22 01:40:17,788 INFO    MainThread:50632 [wandb_init.py:init():610] starting backend
2024-11-22 01:40:17,788 INFO    MainThread:50632 [wandb_init.py:init():614] setting up manager
2024-11-22 01:40:17,792 INFO    MainThread:50632 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-22 01:40:17,793 INFO    MainThread:50632 [wandb_init.py:init():622] backend started and connected
2024-11-22 01:40:17,801 INFO    MainThread:50632 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-11-22 01:40:17,802 INFO    MainThread:50632 [wandb_init.py:init():711] updated telemetry
2024-11-22 01:40:17,874 INFO    MainThread:50632 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-11-22 01:40:18,999 INFO    MainThread:50632 [wandb_run.py:_on_init():2396] communicating current version
2024-11-22 01:40:19,054 INFO    MainThread:50632 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.18.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-11-22 01:40:19,054 INFO    MainThread:50632 [wandb_init.py:init():795] starting run threads in backend
2024-11-22 01:40:19,219 INFO    MainThread:50632 [wandb_run.py:_console_start():2374] atexit reg
2024-11-22 01:40:19,219 INFO    MainThread:50632 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-11-22 01:40:19,219 INFO    MainThread:50632 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-11-22 01:40:19,219 INFO    MainThread:50632 [wandb_run.py:_redirect():2319] Redirects installed.
2024-11-22 01:40:19,220 INFO    MainThread:50632 [wandb_init.py:init():838] run started, returning control to user process
2024-11-22 01:42:14,128 INFO    MainThread:50632 [wandb_run.py:_finish():2103] finishing run catemerfeld/ims_encoder_decoder/2o5o5k9b
2024-11-22 01:42:14,128 INFO    MainThread:50632 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-11-22 01:42:14,128 INFO    MainThread:50632 [wandb_run.py:_restore():2326] restore
2024-11-22 01:42:14,128 INFO    MainThread:50632 [wandb_run.py:_restore():2332] restore done
2024-11-22 01:42:17,828 INFO    MainThread:50632 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-11-22 01:42:17,829 INFO    MainThread:50632 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-11-22 01:42:17,837 INFO    MainThread:50632 [wandb_run.py:_footer_sync_info():3953] logging synced files
