Using device: cuda
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
GPU ID: 1, Memory Free: 24203.0MB, Memory Used: 14.0MB, Memory Total: 24564.0MB
GPU ID: 0, Memory Free: 1474.0MB, Memory Used: 22742.0MB, Memory Total: 24564.0MB
